1月份月结单.xlsx [ICBC Asia USD Current]: first file, kept B/F row.
1月份月结单.xlsx [ICBC Asia HKD Current]: first file, kept B/F row.
1月份月结单.xlsx [ICBC Asia CNY Current]: first file, kept B/F row.
2月份月结单.xlsx [ICBC Asia USD Current]: B/F matched, skipped B/F row.
2月份月结单.xlsx [ICBC Asia HKD Current]: B/F matched, skipped B/F row.
2月份月结单.xlsx [ICBC Asia CNY Current]: B/F matched, skipped B/F row.
3月份月结单.xlsx [ICBC Asia USD Current]: B/F matched, skipped B/F row.
3月份月结单.xlsx [ICBC Asia HKD Current]: B/F matched, skipped B/F row.
3月份月结单.xlsx [ICBC Asia CNY Current]: B/F matched, skipped B/F row.
4月份月结单.xlsx [ICBC Asia USD Current]: B/F matched, skipped B/F row.
4月份月结单.xlsx [ICBC Asia HKD Current]: B/F matched, skipped B/F row.
4月份月结单.xlsx [ICBC Asia CNY Current]: B/F matched, skipped B/F row.
5月份月结单.xlsx [ICBC Asia USD Current]: B/F matched, skipped B/F row.
5月份月结单.xlsx [ICBC Asia HKD Current]: B/F matched, skipped B/F row.
5月份月结单.xlsx [ICBC Asia CNY Current]: B/F matched, skipped B/F row.
6月份月结单.xlsx [ICBC Asia USD Current]: B/F matched, skipped B/F row.
6月份月结单.xlsx [ICBC Asia HKD Current]: B/F matched, skipped B/F row.
6月份月结单.xlsx [ICBC Asia CNY Current]: B/F matched, skipped B/F row.
7月份月结单.xlsx [ICBC Asia USD Current]: B/F matched, skipped B/F row.
7月份月结单.xlsx [ICBC Asia HKD Current]: B/F matched, skipped B/F row.
7月份月结单.xlsx [ICBC Asia CNY Current]: B/F matched, skipped B/F row.
8月份月结单.xlsx [ICBC Asia USD Current]: B/F matched, skipped B/F row.
8月份月结单.xlsx [ICBC Asia HKD Current]: B/F matched, skipped B/F row.
8月份月结单.xlsx [ICBC Asia CNY Current]: B/F matched, skipped B/F row.
9月份月结单.xlsx [ICBC Asia USD Current]: B/F matched, skipped B/F row.
9月份月结单.xlsx [ICBC Asia HKD Current]: B/F matched, skipped B/F row.
9月份月结单.xlsx [ICBC Asia CNY Current]: B/F matched, skipped B/F row.
10月份月结单.xlsx [ICBC Asia USD Current]: B/F matched, skipped B/F row.
10月份月结单.xlsx [ICBC Asia HKD Current]: B/F matched, skipped B/F row.
10月份月结单.xlsx [ICBC Asia CNY Current]: B/F matched, skipped B/F row.
11月份月结单.xlsx [ICBC Asia USD Current]: B/F matched, skipped B/F row.
11月份月结单.xlsx [ICBC Asia HKD Current]: B/F matched, skipped B/F row.
11月份月结单.xlsx [ICBC Asia CNY Current]: B/F matched, skipped B/F row.
12月份月结单.xlsx [ICBC Asia USD Current]: B/F matched, skipped B/F row.
12月份月结单.xlsx [ICBC Asia HKD Current]: B/F matched, skipped B/F row.
12月份月结单.xlsx [ICBC Asia CNY Current]: B/F matched, skipped B/F row.
