hsbc202504.xlsx [HSBC HKD Current Account]: first file, kept B/F row.
hsbc202504.xlsx [HSBC HKD Savings Account]: first file, kept B/F row.
hsbc202505.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
hsbc202505.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
hsbc202506.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
hsbc202506.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
hsbc202507.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
hsbc202507.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
hsbc202508.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
hsbc202508.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
hsbc202509.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
hsbc202509.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
hsbc202510.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
hsbc202510.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
hsbc202511.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
hsbc202511.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
hsbc202512.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
hsbc202512.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
hsbc202601.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
hsbc202601.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
hsbc202602.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
hsbc202602.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
hsbc202603.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
hsbc202603.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
