1月.xlsx [HSBC HKD Current Account]: first file, kept B/F row.
1月.xlsx [HSBC HKD Savings Account]: first file, kept B/F row.
1月.xlsx [HSBC USD FCY Savings]: first file, kept B/F row.
2月.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
2月.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
2月.xlsx [HSBC USD FCY Savings]: B/F matched, skipped B/F row.
3月.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
3月.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
3月.xlsx [HSBC USD FCY Savings]: B/F matched, skipped B/F row.
4月.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
4月.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
4月.xlsx [HSBC USD FCY Savings]: B/F matched, skipped B/F row.
5月.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
5月.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
5月.xlsx [HSBC USD FCY Savings]: B/F matched, skipped B/F row.
6月.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
6月.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
6月.xlsx [HSBC USD FCY Savings]: B/F matched, skipped B/F row.
7月.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
7月.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
7月.xlsx [HSBC USD FCY Savings]: B/F matched, skipped B/F row.
8月.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
8月.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
8月.xlsx [HSBC USD FCY Savings]: B/F matched, skipped B/F row.
9月.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
9月.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
9月.xlsx [HSBC USD FCY Savings]: B/F matched, skipped B/F row.
10月.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
10月.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
10月.xlsx [HSBC USD FCY Savings]: B/F matched, skipped B/F row.
11月.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
11月.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
11月.xlsx [HSBC USD FCY Savings]: B/F matched, skipped B/F row.
12月.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
12月.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
12月.xlsx [HSBC USD FCY Savings]: B/F matched, skipped B/F row.
EStatement.xlsx [HSBC HKD Current Account]: B/F matched, skipped B/F row.
EStatement.xlsx [HSBC HKD Savings Account]: B/F matched, skipped B/F row.
EStatement.xlsx [HSBC USD FCY Savings]: B/F matched, skipped B/F row.
